总字数为733605 红楼梦 共有12章 
834  穿著        61   50874 
835  照应        61   50935 
836  瞅         61   50996 
837  跳         61   51057 
838  一早        61   51118 
839  放在        60   50340 
840  可知        60   50400 
841  一人        60   50460 
842  绣         60   50520 
843  不该        60   50580 
844  一杯        60   50640 
845  就要        60   50700 
846  商量        60   50760 
847  口         59   49973 
848  欢喜        59   50032 
849  唤         59   50091 
850  仍旧        59   50150 
851  一则        59   50209 
852  宝兄弟       59   50268 
853  交给        59   50327 
854  啐         59   50386 
855  冯紫英       59   50445 
856  藕         59   50504 
857  后面        58   49706 
858  推         58   49764 
859  眼泪        58   49822 
860  那丫头       58   49880 
861  隔         58   49938 
862  虽说        58   49996 
863  爷         58   50054 
864  似         58   50112 
865  袭人道       58   50170 
866  未必        58   50228 
867  琥珀        58   50286 
868  白         58   50344 
869  邢         58   50402 
870  门口        58   50460 
871  得罪        58   50518 
872  地         57   49704 
873  不禁        57   49761 
874  打点        57   49818 
875  不中用       57   49875 
876  梳洗        57   49932 
877  规矩        57   49989 
878  了不得       57   50046 
879  各人        57   50103 
880  办         57   50160 
881  须         56   49336 
882  挂         56   49392 
883  抱         56   49448 
884  晚间        56   49504 
885  事来        56   49560 
886  亏         56   49616 
887  只顾        56   49672 
888  不住        56   49728 
889  拿出        56   49784 
890  好容易       56   49840 
891  说明        56   49896 
892  秦氏        56   49952 
893  说好        56   50008 
894  不会        56   50064 
895  赶         56   50120 
896  庵         56   50176 
897  彩云        56   50232 
898  之事        55   49390 
899  门前        55   49445 
900  不了        55   49500 
901  贾母因       55   49555 
902  罚         55   49610 
903  不信        55   49665 
904  贾政听       55   49720 
905  岂知        55   49775 
906  好处        54   48924 
907  之物        54   48978 
908  下去        54   49032 
909  进入        54   49086 
910  歇息        54   49140 
911  断         54   49194 
912  猜         54   49248 
913  礼         54   49302 
914  年轻        54   49356 
915  或者        54   49410 
916  样子        54   49464 
917  姑子        54   49518 
918  回身        54   49572 
919  之意        53   48707 
920  一半        53   48760 
921  赖         53   48813 
922  女         53   48866 
923  倒像        53   48919 
924  小子        53   48972 
925  外间        53   49025 
926  妥当        53   49078 
927  红了脸       53   49131 
928  一点儿       53   49184 
929  跪         53   49237 
930  巧姐儿       53   49290 
931  一语        52   48412 
932  大人        52   48464 
933  轻轻        52   48516 
934  各色        52   48568 
935  委屈        52   48620 
936  或是        52   48672 
937  姐儿        52   48724 
938  有趣        52   48776 
939  果子        52   48828 
940  衙门        52   48880 
941  故意        52   48932 
942  磕头        52   48984 
943  那婆子       52   49036 
944  本来        52   49088 
945  饶         52   49140 
946  大观园       52   49192 
947  而已        51   48297 
948  三人        51   48348 
949  唬得        51   48399 
950  那样        51   48450 
951  帐         51   48501 
952  别处        51   48552 
953  老嬷嬷       51   48603 
954  晚饭        51   48654 
